CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average
73.33,195421012,177167401,53.91573329
32,66832554,65603623,52.70299172
9,5054,2225,22.93688439
77,47752066,43634268,57.21758386
71.48,197487806,179727668,61.54174216
80,242665652,220117074,55.37998261
70,170110969,164603021,53.0801888
81,434259160,418743911,53.5548221
1.67,0,0,52.97259941
37,59102486,77226290,59.08399785
75,215262910,194763578,67.20843165
3,38034,37591,36.28625728
28,42456009,32462705,58.93525266
73.44,42976325,39445715,79.47996372
73.67,42365488,38734930,67.40257881
74.33,194482875,176595835,69.24038759
77.67,219582321,199213015,92.15317598
96.95,346818609,312458871,65.3029671
75.33,46924761,42949763,87.93288797
1.64,0,0,53.43726588
54,140471683,158291313,55.39137816
3,46872,41599,36.29489344
81,455257614,440000897,65.8976249
32,40767579,39505995,36.32334197
29,313881023,299730004,62.15740472
48,197469361,148782615,57.51775366
25,18811608,21865292,59.62304677
58,32933394,31380144,59.02486554
3,5090,2315,22.81755295
32,46815625,44900853,58.36658679
2.71,4841,3763,53.92922293
28,17055283,24465270,67.93626716
10,16090,7067,26.63798784
4,6438,4653,22.99164782
83,486184594,457967758,51.92781997
76.33,215755002,195463835,75.09302668
33,48642829,46131505,38.49655595
1,7241,5944,23.0174547
65,271997444,268524586,46.68704124
8,5396,2729,22.72794007
72.88,193877838,175893748,77.83951886
78,361101396,338688708,66.87721968
63,231259784,231962929,58.20854503
67,296592402,295582665,70.89872474
2.33,4679,3779,53.47327286
1.67,22252,17520,53.52349585
1.67,21402,17121,53.68485279
73,333194710,308802843,68.94994938
26,36393810,30095307,64.64634662
96.33,79292043,72061443,63.291972
41,464540767,447433591,51.37200674
2,37692,37273,39.74331294
32,44079255,38572951,49.54550927
77,387183213,373642924,50.7885578
65,322479658,276715702,54.75245458
76,213674623,193273528,82.43948856
72.67,197020995,178911479,83.98654356
98.64,270885138,227433184,57.05062353
72.33,194606747,176228312,57.13726857
4,39054,39450,36.11246721
79,164024075,151588351,39.71938569
2,0,0,53.94696701
77,466373328,441818502,48.54386688
72.88,194347270,176093659,82.52343567
34,63136426,59977752,58.17039351
3,41287,38789,41.84037629
1,5000,2225,26.61639743
75,327205082,322943977,61.59498737
72.67,194347270,177167401,63.30214112
96.39,360043779,273056433,90.09351439
58,206637182,237470473,70.04227147
96,360484692,324013733,70.07290635
72.33,192199786,175019917,69.49181386
73,89889428,95422689,59.34089827
80,429417377,393829265,36.31038773
30,33923302,30730880,49.30750681
2,22252,17773,53.90213987
76.67,215822107,194347270,60.89195623
4,45776,40772,35.95518746
76.33,46472551,42734683,73.3271281
94.67,346444256,309974921,85.56483228
82,404989329,385515563,43.96146849
75.67,215822107,196494754,59.7066313
68,298374117,254807325,49.2006724
30,152365066,141902202,60.90262118
67,304721068,296217679,53.94299219
68,21261137,23479381,45.71994349
3,41505,39095,38.60100271
97,376883380,338228675,81.22303368
76.95,213110262,192810175,52.91884836
80,449346891,420520553,57.58282968
1.67,0,0,53.15854901
83,254476812,230854492,92.76861519
2.33,0,0,53.90265871
76,216165722,196123828,77.46450666
84,479268705,450848504,51.28213986
71,316952091,319019864,58.29165538
48,203330108,148244154,72.60660199
71,341294803,282084929,57.68783525
3,42316,39871,38.69391765
32,419174630,391809893,44.51728172
72.67,198884690,178350601,62.66480717
71,347373414,329735935,71.12849746
32,67891101,62301911,53.70473572
80,429301459,418795733,59.66419554
1.97,194335,156173,55.8498374
33,45893291,42220163,44.64707816
28.81,19085385,14819200,55.48374913
77,387112447,372701853,52.35597041
1.69,0,0,53.52048662
73.9,196832094,178047724,78.04165603
82,457003361,435021419,51.23006888
44,43838164,47256533,50.87639264
75.41,218877772,197897455,70.2965232
35,86283966,80775561,67.02479645
65,286732687,280383690,56.58636899
80,329999231,302771564,48.57927514
25,19928753,20899559,52.47570825
94.67,345947454,310385104,68.17377156
49,328093805,305870047,60.0297084
75.33,199983017,179639635,58.59581074
32,47102950,40681486,70.64360236
49,171708242,124270939,42.98609019
2.03,0,0,53.41132425
22,225599043,169484272,51.47467547
46,126914187,114969449,52.89816898
42,59350073,65438593,40.25939983
38,74347578,68182392,50.37463163
58,149505097,141249891,42.74346484
38,114294509,107575885,51.06659141
97,363998478,326417514,76.13069185
36,117310170,102737341,52.68465257
75.41,219043332,197568496,70.2965232
76,410995691,383031316,55.28464536
59,20423968,23215705,63.21040688
26,18910418,22076147,61.10724742
62,177594667,174230213,56.04986012
72.33,41509636,38219159,81.52738087
83,450135431,429922034,54.18129946
33,323727321,310170084,46.51380999
80,397026897,392494169,54.33116227
61,185158636,176382012,55.32574333
1.97,5021,4095,53.42097453
68,308861102,296242533,55.74998209
76.67,47031603,42862456,74.5500165
74.67,42893396,39181032,72.0552619
1.67,4721,3847,53.5140531
1.69,21813,17338,53.84257789
73,194050117,176268235,85.32585799
2,5198,2423,22.82969438
66,363098345,339584854,51.95001999
96.33,369367187,330712482,59.19547744
55,419472549,389766674,58.95740188
27,28949999,26801403,56.25606119
19,15780058,16173815,56.37259858
81,448180174,424889851,72.44515656
72.33,194424941,176228121,76.09634514
76.39,48131112,43899981,59.46423272
47,34287186,31272620,41.82300237
67,18636595,20589128,41.93826973
2,0,0,53.78519501
97.38,78038212,60007955,88.35189716
28.33,19327353,15032386,71.64694065
72.67,43635435,39502984,54.19569535
74,443377254,415124920,55.65178385
3,41464,39066,38.53760312
2.33,42858,34607,54.05270509
2,4811,3763,53.85139805
28.52,4223792,3307170,55.42200805
76.67,194811351,176250149,86.25778508
5,5116,2279,22.94633336
79,409874037,404514768,47.82635421
72,193056177,175222130,52.67250665
2,44997,92643,55.85647845
45,116065353,101233535,64.57212643
97,373181301,335101467,56.28254377
22,15977984,12998697,47.69843741
71.67,194347270,177167401,55.42138545
81,387741366,359470527,53.18580398
81.67,248721876,224887609,72.01033099
2,21841,16994,53.838531
77.67,220824280,199232261,82.42164071
77.67,216276577,196610220,74.09842462
60,412064309,383208457,42.94443341
27,15052517,23933170,37.89258342
1.67,4775,3847,53.6054714
32,333587185,322295576,49.45599799
28,82188128,101382039,48.73564048
73,92091018,84095615,59.43147637
3,41859,39084,39.72416098
57,148854592,180082509,56.90204611
74.33,194347270,176093659,56.88200294
3,41979,39451,38.7391813
25.76,23500030,10595802,54.89269504
36,360427950,336165149,65.17548935
3,41558,39239,38.69879454
73.33,196494754,178241143,84.64494211
76.33,47043459,42881554,71.05381124
1.67,21951,17483,53.90089467
1.67,4967,3959,53.85243571
71.33,42504890,39038390,81.80039058
97.67,376883380,338228675,60.7937931
76.33,216126638,195486741,70.08068884
30,34557840,33641196,52.38391093
69,254533329,235452866,61.89090292
70,387072534,354625701,53.87618893
12,5000,2399,26.67263409
46,317943566,298280829,53.18483876
35,350907168,340441784,65.59505443
72,91145778,92299734,64.20356552
78,428420507,407483808,59.13611963
28.33,4151491,3236993,55.35507864
78.67,48902257,42656830,71.30669024
77.33,216348142,196310768,58.7824867
1.67,286107,46171,53.86571783
35,48617600,57618113,71.1308343
25,16643920,13252583,49.86098319
74,42669977,39046896,56.48519978
60,242911289,231960086,46.15439324
97.33,80807375,73249493,80.43845504
68,299696369,300785514,39.33172362
35,161867209,167522776,60.83287147
3,40871,38325,38.72272179
2,21402,16867,53.52370339
76,213674623,194347270,63.27796352
76,338735246,328806499,52.95557406
98.98,78569242,71230869,95.88212954
61,178207455,210797256,53.90438346
2,49054,56241,39.80584892
71.67,194347270,176093659,81.82332298
67,326232734,286334884,51.09326191
3,41277,38975,38.74288977
77,47195181,43022574,86.25923781
71.67,193801434,175572772,66.67455292
77.38,216766441,195319985,64.92494568
73,283417396,294007433,51.86421718
65,263238892,274354092,68.88146969
2,21951,17302,53.85689767
25,10423813,10261319,41.46841171
26,26442140,22994605,52.8137378
1.67,4679,3779,53.68485279
3,41701,38808,39.85934232
97.67,79243511,71669925,77.11336077
3,41859,39030,36.01147492
61,234106520,231605409,55.18913957
44,203969112,188352719,52.98590223
1.67,21649,16994,53.79972232
54,119859743,129732979,54.84161025
3,40767,38529,41.83143533
73.67,43091825,39622566,60.27464922
3,5036,2261,22.91737682
3,41487,39185,38.72983393
4,42296,39332,35.99831747
60,329429526,300466665,67.90913945
29,30741776,29845742,58.35541058
61,316631345,243204302,61.05563365
72,42346631,38785454,76.07808223
79,421016388,401345625,63.60233623
3,41187,38777,41.83712503
73,193301270,175301555,82.05129802
76.33,48764275,42605167,65.88893662
96.67,358000202,271875285,87.3799162
73.67,199012638,178841532,79.1698056
77,366430887,342427634,41.84449117
30,32492536,31184130,49.85839234
41,58340545,66955887,52.79072497
28.33,19337077,14804997,72.01126489
2.03,0,0,53.38071313
21,18996170,17441051,55.86387783
6.23,4586751,226751,63.77147707
82,470190570,439809036,39.41412277
6,4946,2225,23.00475446
2,5000,2279,22.91900245
51,140673408,159175883,66.53294162
4,46118,40989,35.92079522
83,55554425,50582181,82.42433864
25,22345578,19842027,36.7457519
1.67,28994,27088,53.90992236
47,161368200,124506378,49.02134504
72.67,195965755,178707256,75.13100523
9,16534,29405,22.89029991
75.74,47628322,43593460,57.47834912
1.67,0,0,53.66825014
3,42242,39332,36.27284582
4,41349,39047,41.97972331
1.67,0,0,53.49412993
3,41735,39551,38.72968152
1.67,0,0,53.90130974
84,470183497,450657036,60.58221956
40,142292727,144702961,52.92321385
8,5198,2423,26.64073109
35,16327968,16096498,62.61893138
2,4799,3819,53.85689767
28.81,4172599,3270945,55.48374913
72.33,42216479,38802670,71.03938769
2,0,0,53.80107129
75,283959766,266095585,56.95437109
73.22,42107072,38839210,82.03666694
72,194202760,175701254,75.07154701
75,416512776,388421496,68.98398602
77,290764753,232011883,45.69246017
40,18737518,21743419,49.12335335
3,41516,39079,38.56280039
67,43371608,35404954,61.89415418
71.67,194169937,176093088,56.11921528
82,455537983,435517045,53.41928516
80,433899985,415473316,66.6490218
41,117459776,115002975,62.62675473
72,332397564,319976017,64.80936688
29,26980448,31995280,54.1408619
81.33,54377780,49832125,69.21351206
2,193068,154469,54.00019923
76.67,216895848,196494754,84.14675906
75.67,215540189,194795460,80.55156054
72.88,192199786,173946175,75.7725936
45,47948300,44163402,43.4291253
2.33,48326,43340,54.0672324
79,452154586,430132479,64.29246718
55,39371748,32073055,56.00815254
85,473107715,444891889,67.84970233
80,421456124,412664054,49.53458707
73.33,43409821,39541184,88.51377293
57,256913864,235677769,54.76347838
16,3619061,2854125,55.83946075
2,195181,155910,54.08528778
71.48,196494754,178241143,68.40828389
29,261372844,181174425,50.37432682
72.67,42910954,39524942,68.92099425
71.67,193273528,175019917,76.70991655
5,5324,2549,22.80520832
8.67,7206585,5433605,56.49121824
77,408591641,396548106,69.11291883
96.67,372588413,333933707,62.33441458
76,394663450,384148316,53.24056741
1.67,0,0,53.3290374
60,185472105,237782889,61.15474631
96.67,372588413,335007449,71.49730933
68,301355720,302579618,39.45450952
56,204397477,197039606,64.46595244
64,226884839,217004214,55.19884255
75.25,194347270,175019917,65.7857927
2,42678,40790,39.8158567
40,170758033,158046169,51.68717586
71.67,194200528,176215853,74.27742186
27,17273684,25613522,64.57431087
4,5388,2387,22.98961578
11,5244,2333,26.65912103
70,322712513,311823100,59.26332522
60,400312279,385988039,46.97391422
73.56,194347270,176093659,64.95067977
77.33,212050613,190920475,57.5850211
3,41930,39155,36.09097841
3,41187,38831,38.73847009
58,401220695,392572878,46.74947561
4,42421,39741,36.03240491
4,41913,39138,36.19755881
83,439510836,425815263,58.59056819
81,393877829,388201629,63.04357655
78.64,212600881,193273528,63.78963622
4,46144,41015,36.16062652
1.67,4625,3751,53.44639733
44,81264401,125174166,50.65789774
2,4883,3859,53.50782711
71.48,196494754,178241143,64.35474867
54,273247679,215965198,52.86499596
2,5159,4010,22.98087801
22,11621370,16249444,60.06780911
73,194168565,176427017,61.5134139
73,372860478,355248041,65.72739091
69,259990606,249159323,52.01108274
79,435376758,408922847,48.84298289
79,429980720,422385287,57.07060367
74,201988415,181551738,84.80526138
1.67,0,0,53.87920747
77,222264558,192199786,56.52981938
21,13567287,14832231,70.04826599
22,18526743,14983133,56.9920146
74,201863463,181462368,57.82036356
34,63663942,69518776,53.34404895
74,87216758,84429347,48.57785271
5,5216,2391,26.48888704
36,94220024,123247590,57.2477466
63,236444890,260338842,59.07221203
75.41,47852804,43680609,70.2965232
76.61,213674623,193273528,63.1748196
4,5194,2387,22.82735753
74.33,199040462,178718364,81.76739282
52,137605089,170019909,63.67635322
55,102911840,101384234,72.87203697
6,5280,2423,22.99479747
72,195124312,177528967,75.66322369
34,65061184,63862719,55.60845064
25,12024361,18574034,54.46984887
79,389027812,382342614,65.63721922
67,394307413,389245696,56.43899542
79,388352206,383093214,59.50539176
3,38126,37639,36.00263555
75.08,47221085,43232727,59.37177675
75,365001884,326121859,56.57305914
65,320817440,295646920,51.96439666
72.33,194347270,176093659,60.64353919
27,22635531,26420075,51.62494469
28,24331352,27153644,61.47321748
78,421145123,406303954,59.71362487
2,23021,18607,53.47223519
32,382553602,349735790,50.12138888
55,78385263,74142360,47.02441037
2.95,15742,12932,53.96346588
28,24052052,25821019,46.5250878
57,63192863,66475414,47.11295643
79,432383260,395246403,63.47685788
2,21347,16940,53.57309625
31,29409127,26916215,61.14067444
2,41788,33741,53.96419225
73,42955502,39420308,62.1793874
98.98,76771336,59024483,90.17299954
77.97,47183387,42947036,69.24650981
36,409237951,378849279,62.51473863
71.33,193273528,176093659,84.17923798
28,33543524,29345935,51.8868236
5,4881961,60780,23.38251035
1.67,0,0,53.79972232
4,37531,37129,36.00857926
83,436700901,426934449,58.49303036
2,4733,3751,53.42740806
83,54869675,49925788,71.71729435
82.33,255088651,230330153,91.29481935
80,397833322,368614843,53.66460296
65,231089656,247051989,58.9480037
31,226281910,171130878,47.92927694
55,228324960,184487094,54.18566834
1,5166,2333,22.88984271
82,462851272,434486557,48.58720009
71,350053875,319010997,64.06813017
2,42246,34171,54.11382357
72,42467859,38888088,74.16742935
1,5066,2279,22.89126513
81.67,253403070,227633267,58.82679501
76.33,45158907,41128149,65.66947044
28,37292116,31493467,58.67342455
81,440397313,428107044,63.37703401
2,5000,2225,23.0283261
60,197082564,234798509,49.16815979
96.33,340658771,261164294,71.41388105
71.15,195421012,178241143,63.09938134
42,245966490,231912829,67.29282228
77,216895848,195421012,85.33115009
2,42812,34693,54.07169436
8,5306,2341,22.95766198
56,188175416,197213397,40.38950107
63,435037014,390223465,64.74261443
44,88044340,84657593,41.58027541
2.33,0,0,54.12368139
1.67,0,0,53.45801918
75,269661403,277791777,55.83908696
77,217860720,197151884,76.13702161
71,192199786,175019917,77.59099805
3,46258,41056,35.9677353
75.33,211527139,192199786,83.55041289
1.64,4715,3787,53.48935667
4,41187,38760,38.78911864
76.67,47164091,42951772,76.12010767
50,54373758,65360293,49.68185903
49,148842082,156540360,52.53875224
2.67,0,0,53.5391646
72.13,197568496,179314885,81.8551793
5,5406,2549,22.75877625
96,79877075,72544219,89.58817145
2.37,190451,152376,54.11382357
83,455832314,434076260,48.80945426
2,0,0,53.75323492
2.03,0,0,53.78062928
97.97,361628832,323660019,54.3694005
74,193273528,175019917,81.12123872
2,21649,17175,53.79007203
5,9662,11457,22.95949081
5,5226,2531,22.78615796
51,95118164,122146930,52.94333103
44,245346594,201462254,67.21763687
3,48290,45086,36.32435799
78,388118357,367099378,50.32088422
33,347280570,344266577,56.91804841
2,4625,3683,53.86167093
54,59869040,57835528,60.03585531
38,194762509,148241851,60.1042334
55,453858106,440789023,57.43134124
28.67,18987190,14774796,72.09126888
42,118723452,159264089,51.35209277
24,17094747,17733542,51.22310915
75.33,212600881,192199786,67.53643761
4,41558,39185,41.8085749
22,39594349,38968732,51.89647579
3,42532,39668,39.79086264
60,183808525,213612127,64.64375578
76.33,216895848,195421012,58.57817043
47,202771990,181569884,54.08259321
75.08,47420627,43299877,82.89730643
78,264839926,284925504,45.22956189
76,424041887,393163205,68.33764549
76,406293524,400435661,51.9932516
63,389598588,375229783,55.37049897
41,30806839,29318815,69.7293376
76.67,215822107,195421012,74.09209486
65,164338532,164725563,46.27926198
69,286580143,301144179,54.46842645
4,41456,39029,41.81517902
48,184177031,171323627,62.24915124
98.64,368278562,330883293,62.32860366
48,180280742,170535377,47.78754229
77,47348275,43275568,65.71056198
65,271763382,250962433,53.98480137
47,243059487,221421273,48.44825948
31,122392954,114330277,63.29321243
72.54,194347270,176093659,72.03980069
2,0,0,53.41132425
71.48,43078492,39608641,87.63694586
72,194280334,175482859,57.85917223
66,260023056,269712402,68.06794323
31,40528785,35069475,54.22702032
3,42470,39502,39.75499716
41,63724592,84942761,50.33505769
73.56,43338824,39231383,52.76786808
8,5054,2279,22.97356268
77,217969590,196494754,54.86965888
42,106185915,98654032,54.69550671
97,82978958,74990807,62.5754642
36,368824664,336720138,48.55925957
77.33,219742996,199225968,64.59289282
30.51,19327353,15032386,72.32080041
78,427025570,402740049,62.34607946
10,5298,2333,22.78605636
78,434457827,398791267,57.15640648
96.33,80690109,73016714,84.74528433
2,7397,5878,22.9852469
38,105182570,97448598,62.88883685
4,46403,41039,43.79341894
41,87088147,84056409,67.58497856
63,240159963,235565726,55.0999331
3,41133,38868,38.54146399
3,41633,39449,42.01182951
96.33,366145962,329638740,57.78228124
76.07,219043332,197568496,62.01595514
73.67,197127646,178874478,54.80272947
2,37710,37237,39.83810752
2,0,0,53.06547045
4,43673,42088,36.05348731
30,35408595,37422569,65.38016639
73.33,196157862,178728490,84.64494211
28.33,19327353,15032386,54.29261328
34,78531935,77283332,69.06150827
24,22507133,19965350,36.97775985
80,435596355,424921967,54.27492561
59,223248920,234536382,63.66893628
63,284717258,248060968,65.96468216
2.33,194522,155955,90.50650512
82,443380723,414316151,50.04676228
29,33864203,28970799,72.78623416
0,5198,2369,26.55848434
61,294732883,288447945,66.44972966
78,448960087,439221987,53.85627496
77,151623686,216994193,63.30997675
2.67,0,0,90.35272314
77,99530368,101129374,60.63561137
3,42248,39402,36.2287506
74,193273528,175019917,62.84920027
30,54200953,63500151,62.05534561
72.33,194025303,176925836,60.64457685
24,18663859,20788374,51.47472627
3,41541,39185,38.62660639
71.67,42532392,38920803,61.75145429
86,492907083,468863895,46.68587281
76.67,47733642,43482606,55.85782742
77,46468633,42454620,59.36835246
47,163506344,132914691,44.53384283
81,368910120,359025963,63.91745455
1,5090,2315,22.89167154
1.69,0,0,53.82794681
1.67,0,0,53.45594385
54,389219224,380140909,48.33954544
72,193741789,175274199,79.58580557
16,9219945,10724768,37.89512346
64,120211107,160389176,48.24825613
2,5236,2525,22.72905769
73.33,194118082,175986924,65.62754877
42,149051372,143949532,55.62724699
63,363326591,356405177,55.75430017
81,426644377,406641950,44.51118561
3,41435,39180,38.66064303
98.31,316193644,281035907,59.19163808
81.33,242665652,217969590,79.18111615
44,135144561,130443986,52.94063858
71,300505237,289984331,56.20510783
2,4769,3759,53.95236287
57,160412941,219448192,58.09856096
80,419586155,390395959,43.25655447
71.67,194232161,176632791,60.87504228
73,360300101,351672649,68.92063723
78,420456700,410154844,58.40336668
98.33,380104606,340376158,91.29253649
75.67,212474603,192674734,58.76837446
63,257534401,249279123,60.43134073
71.8,196494754,178241143,53.35279993
78,439493964,407997899,59.55101102
76.07,219043332,198642237,90.26846473
2,0,0,53.91293159
49,142135411,126272603,67.9921482
1.67,4733,3819,53.46922596
29,32309251,29850769,61.74987947
76.95,211527139,192199786,65.31240985
75.41,46935412,42930185,62.98222895
64,261404309,270189964,55.28098769
4,41875,38982,36.01807904
27,23959628,23237742,54.20380428
1,5190,2279,22.96761896
64,86991380,72818465,69.91714873
72.13,196642566,178843421,72.64724988
76.67,215925657,195297926,77.81222826
97,369367187,331786224,67.19546084
83,464845056,451442920,64.90050379
1.67,0,0,53.71691664
54,373836549,346364341,50.03797371
1.67,0,0,53.56956819
1.67,0,0,52.98245723
97,373662155,335007449,69.5561491
83,474124197,454277845,50.42588979
60,263383175,264687724,69.86426493
36,401914158,395209377,43.03013462
3,42580,39788,39.84547366
31,98454181,79656317,61.20000996
73.67,194347270,176093659,88.97760926
2,22792,17791,53.93493009
76.39,214748365,195421012,72.73026309
4,7439,6010,22.76304353
4,42177,39348,43.78630681
72,193939271,176315425,57.20502811
64,264527023,239656809,70.01976665
3,41654,39203,41.81070854
39,229319731,223006428,54.86726473
58,253478752,251111475,70.91340622
81,410552177,402257229,43.68236806
54,58268589,70617646,38.8188372
1,5388,2369,22.86088616
70,37335852,41886768,56.44016384
42,134820005,120651997,44.46328031
9,5054,2333,22.88130814
28,4164298,3249207,56.36254776
37,42348906,37275907,65.34521534
1.97,0,0,53.45127436
43,184076474,171856292,53.95609883
8,5248,2423,22.81785775
1.67,4625,3711,53.79577919
26,26219376,22646925,55.2495419
58,263725986,217681816,65.25306241
72.33,42453104,38903630,85.94710813
73.33,197044011,178384811,86.76624102
56,263483056,238656300,63.90013142
80,446808048,419264177,58.05024925
95.67,359685224,323082975,88.07463303
28,29012385,24208600,44.46602356
3,41155,38727,41.8460152
68,313084594,276799381,43.31421355
82,418809764,389053476,60.29214612
2,5144,2369,22.79408291
76.67,47479792,43210987,75.63614063
45,120452572,112982596,63.75773635
54,48477827,47285329,55.22571626
37,220312173,168885877,54.25597686
80,399618225,391769361,52.92895436
2.37,0,0,54.11382357
75,119599594,133287207,56.45057804
2.33,0,0,55.82648993
35,70782511,57493243,56.79287486
78,427109433,398394212,60.26791407
79,426628112,417987758,56.72713843
26,25676955,24323861,54.97663918
4,40590,38325,41.81233417
79,310545122,278675753,59.45535282
2,21200,21806,26.65104368
76.07,218925314,197826769,88.55247784
4,41967,39192,36.17759404
72.67,43055122,39609108,81.14375606
94.67,36793895,31711002,55.10624654
30.33,4159838,3234881,72.24494709
2,0,0,53.93493009
3,43983,42710,36.1168869
31,43173252,39164223,47.3566486
11,7215,5999,22.81287926
72,42358607,38705732,56.51425441
38,96485064,97697123,45.72812244
32,121009701,168685426,50.19550747
3,41141,38700,38.5206864
77,395062276,376604651,60.0244251
75,116725160,111441564,49.81947881
76,212600881,192199786,62.47014118
4,41984,39138,35.90753617
73,197568496,178241143,54.82036978
61,37133727,37588676,50.67964055
81,412910096,393884215,60.37454527
1.67,21685,17175,53.48230055
96.67,80816302,73030450,57.59996347
23,26922962,27726696,70.69206647
3,41208,38416,36.30586644
72,42400550,38916949,57.20502811
5,5000,2225,22.97427389
72,348442306,336626969,63.25495932
77,413318252,382632721,47.24524211
5,5270,2531,22.70477483
97.33,376053322,337203387,61.01637228
3,42123,39348,39.86259358
4,5468,2639,22.77696299
60,382670208,371471812,62.2627659
29,291347961,290779050,64.51472135
3,46204,41056,36.08980999
73,43271456,39371478,55.00486665
36,54432490,66119553,62.35613805
33,70278285,66278527,52.86159229
3,5054,2279,22.85407883
75,43182319,39326217,56.31678672
41,75111950,96866836,54.14497678
78,414522318,396920022,54.57658167
2,42288,34199,54.02697099
2,0,0,54.02375423
78,419422088,409250571,55.01026941
77,172244923,145798020,45.6191036
2,0,0,54.01856591
71.8,197088671,178427217,63.08329753
76,46589101,42527288,88.47050229
2,4775,3807,53.86831199
2,9308,9561,22.97407069
28,34919540,31395851,54.97790921
56,187543020,196575615,40.51624945
1.67,0,0,53.71162455
4,41876,39101,36.25389707
82,469724724,434827834,52.45752151
55,203469106,222006753,66.42991729
54,203298980,175454710,67.98732211
79,437083003,413717448,55.49562172
31,32702070,41422772,48.49773961
2.37,0,0,53.80522195
33,48266366,50139963,49.51076142
3,41553,39025,38.72632866
3,47346,42265,39.80610292
81,449748557,437146763,60.94331274
76,213561111,193601477,71.18300055
71.8,195421012,178241143,70.11721466
25,26836373,22864422,54.67660875
3,43987,42523,39.81438348
72,42415414,38829657,65.50188751
1.67,21155,16940,53.87920747
3,41774,39046,36.08752395
67,39305017,35788785,42.31058992
77,391831743,387244805,54.54432307
76.61,215822107,195421012,71.12426871
3,41150,38885,38.69869294
75.74,47428672,43350862,52.05976536
76,212600881,193273528,68.78723921
77.33,225607771,194363403,63.18104559
90,325672122,302111815,45.29529832
9,10334,12511,26.721149
2,40939,38465,38.74873188
74,107844631,96344114,45.48112821
2,0,0,54.00019923
82,252670086,228529538,61.0497851
77,47209231,42965047,88.35957589
26,15315342,21676938,48.35102646
73.67,193273528,175019917,69.09947266
68,242018772,226998940,65.39337464
97.67,359209425,272480491,97.17723944
28,33840334,29523152,46.40971883
41,105319195,109845494,54.57856291
74,125615183,119631699,50.7622937
83,471285814,447875212,53.55390769
4,42100,39366,36.06054864
77.33,217969590,196494754,55.65703921
1.97,0,0,53.95236287
2,282448,46588,53.84641725
78,439385901,408950892,67.52752269
28,19028878,14623720,54.58035783
29,27620163,30372914,50.64722954
3,41712,39203,41.82127513
74,345182905,317234308,61.47763717
72.67,43404889,39414908,85.64016677
4,50914,51609,35.90464051
2.03,0,0,54.00725535
68,22203434,28264738,46.11111083
47,112269194,99481689,68.00063196
4,41946,39009,36.01193213
3,42844,39998,36.14061094
3,37904,37603,36.1491963
2,0,0,53.60049061
73,43600708,39653597,59.98420674
29,39903867,37308516,55.25157394
1.67,4679,3763,53.47970638
29,37975112,33616630,62.80151001
74,159986259,207124084,47.15705165
73,42603030,38947367,64.58064837
71.33,193273528,175019917,81.27429434
4,45774,48493,35.9463989
75,395131882,381848154,56.2511843
69,382281558,356531036,49.08428742
3,41377,38831,38.6432691
74.92,42354697,38952622,70.97494869
16,1409477,1442636,33.14975562
2,41880,33965,53.9959448
74.24,194347339,175196759,72.65513613
71.67,193874760,175948564,54.18791286
77.33,215412630,188465747,90.98621773
71.67,193273528,176093659,85.32160357
29.67,4175681,3207960,72.76575124
77,466804284,448381034,58.79824249
49,148523484,156112146,52.98193975
2,191137,152866,53.96419225
71.8,197221536,179024295,83.96848818
77.33,217084475,196359354,78.07237092
75.08,215822107,195421012,59.37177675
48,100492194,134065039,51.1350203
2,21758,17284,53.92019525
98.64,357859703,320452951,61.96656228
31,217695521,175857537,39.76647818
64,422062571,397323783,53.92470384
51,158581605,162141101,56.3420164
23,14109498,14872718,52.4836332
3,54283,50705,41.95701528
71.67,194252959,176105362,68.65701223
9,5108,2333,22.81948338
47,129025843,132362002,63.01009872
34,48264993,47344490,37.80297053
96.61,344671126,263066747,77.67743556
69,336690767,293618475,48.3158214
28.33,4142795,3259560,55.98857323
28,32566994,34295234,51.40858343
59,249100010,235075139,52.68307775
70,303098381,277279312,67.59935523
73.67,201863463,180388626,76.28198343
3,37866,37447,36.22001283
29,35669896,28676789,58.61561306
2,42070,33851,55.82431083
43,149674363,161720169,57.87823723
25,40697658,37917299,42.55956539
32,31087159,29854104,52.93210402
31,325765667,315118190,51.94971518
71,206258315,247652839,45.23662322
10,5362,2423,22.80795157
72.67,197568496,178241143,66.76732019
76.67,215822107,194347270,76.12010767
81,459369190,419626699,61.82907816
42,64161959,85692566,49.50354768
73,198965362,178823858,53.57454898
63,295392277,292969233,53.986427
1.67,195094,156137,90.50671266
66,16765425,21112729,55.71426902
78.98,215640382,194868239,80.19117943
73.33,198642237,178241143,76.8365117
1,5162,2333,22.92479376
79,424136060,408214649,61.58762123
72.67,199695543,179845920,69.34778593
1.67,4783,3819,53.84257789
76,395610046,359906433,42.64699383
79,409474047,403168324,53.14912569
72.33,194347270,176093659,67.8253236
74,193273528,175019917,86.19614777
30,37099895,31754811,73.50709969
1.67,0,0,53.46154724
34,47635131,47897096,65.06906136
66,277110851,272113283,64.83207491
1.67,0,0,90.50567499
5,5036,2261,22.79301609
33,57227536,78206088,50.17848915
2,4829,3779,53.55358814
56,228746292,186815754,51.54224074
2.03,42335,34135,55.8492148
36,181975815,149390439,52.38665418
25,35835053,61195640,61.04994394
21,53027745,51116081,51.59258448
72,193406521,176083017,65.77064279
74.24,43521258,39512988,57.76982926
1,42219,39444,32.30463096
